,YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,SYS_STSITSSXSOLCHJPSAF7486K4RV,SYS_STSWGMX8O#197_NPUKVK#S5$QM
1216,2007,59101XXNBL700EX,1.1e+11,EXXONMOBIL BILLINGS REFINERY,700 EXXONMOBIL RD,BILLINGS,YELLOWSTONE,MT,59101,,,45.813904,-108.433295,NO,324,Petroleum,,,,,,,324110,424710,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,970.0,3000.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,4090.0,0.0,0.0,4000.0,120.0,0.0,0.0,0.0,0.0,16.0,8300.0,17.0,12453.0,6.0,,0.97,EXXON MOBIL CORP,1213214,1.3767e+19,7.38974e+17
2206,2007,77640TXCRFNORTH,1.1e+11,MOTIVA-PORT ARTHUR REFINERY,2555 SAVANNAH AVE,PORT ARTHUR,JEFFERSON,TX,77640,,,29.883333,-93.958333,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,13651.0,1059.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14711.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,13.0,14840.0,0.0,0.0,14711.0,128.0,1.0,0.0,0.0,3084.0,0.0,131138.0,13.0,149075.0,,,0.98,MOTIVA ENTERPRISES LLC,,4.27702e+18,2.84198e+18
2483,2007,08861CHVRN1200S,1.10059e+11,BUCKEYE PERTH AMBOY TERMINAL,380 MAURER ROAD,PERTH AMBOY,MIDDLESEX,NJ,8861,,,40.534267,-74.261643,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1598.0,299.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901.0,0.0,0.0,1897.0,2.0,0.0,0.0,0.0,904.0,0.0,130.0,0.0,2933.0,2.0,,0.73,BUCKEYE PARTNERS L.P.,112569892,1.43424e+18,1.566e+19
2699,2007,79086DMNDSSTARR,1.1e+11,DIAMOND SHAMROCK REFINING CO LP,6701 FM 119,SUNRAY,MOORE,TX,79086,,,35.951944,-101.873889,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,3002.0,1344.0,0.0,0,30062.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,39.0,34447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,207.0,0.0,0.0,207.0,269.0,0.0,269.0,0.0,777.0,0.0,0.0,0.0,0.0,777.0,34480.0,0.0,30062.0,4385.0,33.0,0.0,0.0,269.0,0.0,207.0,0.0,777.0,35733.0,,,1.33,VALERO ENERGY CORP,82686916,4.27702e+18,2.36187e+18
3100,2007,90222DMNNK2000N,1.1e+11,DEMENNOKERDOON DBA WORLD OIL RECYCLING,2000 NORTH ALAMEDA STREET,COMPTON,LOS ANGELES,CA,90222,,,33.910116,-118.221906,NO,324,Petroleum,,,,,,,324191,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,5.0,5.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.0,20.61,20.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17133.84,0.0,17133.84,0.0,0.0,0.0,0.0,0.0,0.0,20.61,10.0,0.0,0.0,1.757,0.0,0.0,0.0,17133.84,45353.62,0.0,2621.08,20.61,65130.907,,,0.91,WORLD OIL CORP,72937436,5.09702e+18,9.78157e+17
3903,2007,36611BLCHRVIADU,1.1e+11,GULF ATLANTIC OPERATIONS LLC,200 VIADUCT RD,CHICKASAW,MOBILE,AL,36611,,,30.76205,-88.05288,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,10.0,44.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,54.0,0.0,0.214,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,54.21,,,0.29,GULF ATLANTIC OPERATIONS LLC,,1.52007e+17,1.43926e+19
4163,2007,70047TRNSM14902,1.1e+11,VALERO REFINING - NEW ORLEANS LLC,14902 RIVER RD,NORCO,ST CHARLES PARISH,LA,70079,,,29.985278,-90.392778,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,1300.0,4000.0,7.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,5429.0,0.0,0.0,5200.0,120.0,0.0,58000.0,38.0,0.0,0.0,28000.0,4.0,91362.0,,,0.96,VALERO ENERGY CORP,,1.38484e+19,3.73907e+18
4838,2007,26050RGNWSSTATE,1.10028e+11,ERGON WEST VIRGINIA INC,9995 OHIO RIVER BLVD,NEWELL,HANCOCK,WV,26050,,,40.6111,-80.630833,NO,324,Petroleum,,,,,,,324110,324191,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,383.0,1553.0,5.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,49.0,1941.0,0.0,0.0,1942.0,0.0,0.0,0.0,0.0,0.0,0.0,12400.0,49.0,14391.0,,,1.03,ERGON INC,87023743,1.69453e+19,8.56869e+18
4861,2007,99705PTRST1200H,1.10055e+11,PETRO STAR INC NORTH POLE REFINERY,1200 H & H LN,NORTH POLE,FAIRBANKS NORTH STAR BORO,AK,99705,,,64.73465,-147.347118,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,A,Pounds,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,ARCTIC SLOPE REGIONAL CORP,78316575,8.49565e+18,3.69372e+18
5664,2007,70750HLLPTHWY10,1.10041e+11,ALON REFINING KROTZ SPRINGS INC,HWY 105 S,KROTZ SPRINGS,ST LANDRY PARISH,LA,70750,,,30.526504,-91.748383,NO,324,Petroleum,,,,,,,324110,,,,,,1.30721e+12,BENZENE,71432,4754.0,YES,TRI,NO,0,YES,R,Pounds,2819.0,2989.0,7.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,5816.0,0.0,0.0,5815.0,1.0,0.0,389.0,0.0,11180.0,0.0,5633.0,8.0,23026.0,,,0.92,ALON USA ENERGY INC,876661062,1.38484e+19,1.3656e+19
